iter	Passed	Remaining
336	459	904
337	460	902
338	462	901
339	463	899
340	465	898
341	466	897
342	467	896
343	469	894
344	470	893
345	472	892
346	473	891
347	475	890
348	477	889
349	478	888
350	479	887
351	481	886
352	482	884
353	484	883
354	485	882
355	487	881
356	488	879
357	489	878
358	491	876
359	492	875
360	493	873
361	494	872
362	496	871
363	498	870
364	499	869
365	501	867
366	502	866
367	504	865
368	505	865
369	507	863
370	509	863
371	510	861
372	511	860
373	513	858
374	514	857
375	515	856
376	517	854
377	518	853
378	519	851
379	521	850
380	522	848
381	523	847
382	525	845
383	526	844
384	527	843
385	529	841
386	530	840
387	532	839
388	533	837
389	534	836
390	536	835
391	537	833
392	538	832
393	540	830
394	541	829
395	542	827
396	544	826
397	545	825
398	546	823
399	548	822
400	549	821
401	550	819
402	552	818
403	553	816
404	554	815
405	556	814
406	557	812
407	559	811
408	560	810
409	562	808
410	563	807
411	564	806
412	566	804
413	567	803
414	569	802
415	570	800
416	571	799
417	573	797
418	574	796
419	575	795
420	577	794
421	578	792
422	580	791
423	582	790
424	583	789
425	585	788
426	586	787
427	588	786
428	589	784
429	590	783
430	592	781
431	593	780
432	595	779
433	596	777
434	597	776
435	599	775
436	600	773
437	601	772
438	603	770
439	604	769
440	605	767
441	607	766
442	608	765
443	609	763
444	611	762
445	612	761
446	614	759
447	615	758
448	616	757
449	618	755
450	619	754
451	621	753
452	622	752
453	624	750
454	625	749
455	627	748
456	628	746
457	630	745
458	631	744
459	632	742
460	634	741
461	635	740
462	636	738
463	638	737
464	639	736
465	641	735
466	642	733
467	644	732
468	645	731
469	647	729
470	648	728
471	649	726
472	651	725
473	652	724
474	654	723
475	655	721
476	656	719
477	657	718
478	659	717
479	660	715
480	662	714
481	663	713
482	664	711
483	666	710
484	667	709
485	669	707
486	670	706
487	672	705
488	674	704
489	675	703
490	677	702
491	678	700
492	680	699
493	681	698
494	682	696
495	684	695
496	685	693
497	686	692
498	688	691
499	689	689
500	691	688
501	692	687
502	694	685
503	695	684
504	696	683
505	698	681
506	699	680
507	700	678
508	702	677
509	703	676
510	705	675
511	707	673
512	708	672
513	709	671
514	711	669
515	712	668
516	713	666
517	715	665
518	716	663
519	717	662
520	718	660
521	720	659
522	721	657
523	722	656
524	723	654
525	725	653
526	726	652
527	728	651
528	729	649
529	731	648
530	732	646
531	733	645
532	735	644
533	736	642
534	737	641
535	739	639
536	740	638
537	742	637
538	743	636
539	745	634
540	746	633
541	748	632
542	749	630
543	750	629
544	752	627
545	753	626
546	754	625
547	756	623
548	757	622
549	759	621
550	760	619
551	761	618
552	762	616
553	764	615
554	765	613
555	766	612
556	768	610
557	769	609
558	770	607
559	771	606
560	773	605
561	774	603
562	775	602
563	777	600
564	778	599
565	779	597
566	780	596
567	781	594
568	783	593
569	784	591
570	785	590
571	787	588
572	788	587
573	789	586
574	790	584
575	792	583
576	793	581
577	794	580
578	796	579
579	797	577
580	799	576
581	800	574
582	801	573
583	803	572
584	804	570
585	805	569
586	807	567
587	808	566
588	809	564
589	810	563
590	811	561
591	812	560
592	814	558
593	815	557
594	816	555
595	818	554
596	819	553
597	820	551
598	822	550
599	823	548
600	824	547
601	825	546
602	827	544
603	828	543
604	829	541
605	831	540
606	832	539
607	834	537
608	835	536
609	836	535
610	838	533
611	839	532
612	840	530
613	841	529
614	843	527
615	844	526
616	845	525
617	847	523
618	848	522
619	849	520
620	851	519
621	852	518
622	853	516
623	855	515
624	856	513
625	857	512
626	858	510
627	860	509
628	861	508
629	863	507
630	864	505
631	866	504
632	867	502
633	868	501
634	869	499
635	870	498
636	872	496
637	873	495
638	874	494
639	875	492
640	877	491
641	878	489
642	879	488
643	880	486
644	882	485
645	883	483
646	884	482
647	885	480
648	886	479
649	887	477
650	888	476
651	890	475
652	891	473
653	892	472
654	893	470
655	895	469
656	896	467
657	897	466
658	898	465
659	900	463
660	901	462
661	902	460
662	903	459
663	905	457
664	906	456
665	907	455
666	908	453
667	909	452
668	911	450
669	912	449
670	913	448
671	915	446
672	916	445
673	917	443
674	919	442
675	920	441
676	921	439
677	923	438
678	924	436
679	925	435
680	926	434
681	928	432
682	929	431
683	931	430
684	932	428
685	933	427
686	934	425
687	936	424
688	937	423
689	938	421
690	940	420
691	941	419
692	942	417
693	943	416
694	945	414
695	946	413
696	947	411
697	948	410
698	950	409
699	951	407
700	952	406
701	953	404
702	954	403
703	956	402
704	957	400
705	958	399
706	960	397
707	961	396
708	962	395
709	964	393
710	965	392
711	967	391
712	968	389
713	969	388
714	970	386
715	971	385
716	973	384
717	974	382
718	975	381
719	976	379
720	977	378
721	978	376
722	980	375
723	981	374
724	982	372
725	984	371
726	985	370
727	986	368
728	988	367
729	989	366
730	990	364
731	992	363
732	993	361
733	994	360
734	996	359
735	997	357
736	998	356
737	1000	355
738	1001	353
739	1002	352
740	1004	350
741	1005	349
742	1006	348
743	1007	346
744	1009	345
745	1010	344
746	1012	342
747	1013	341
748	1014	340
749	1016	338
750	1017	337
751	1018	336
752	1020	334
753	1021	333
754	1022	331
755	1023	330
756	1025	329
757	1026	327
758	1027	326
759	1029	325
760	1030	323
761	1031	322
762	1033	321
763	1034	319
764	1035	318
765	1037	316
766	1038	315
767	1039	314
768	1041	312
769	1042	311
770	1043	310
771	1045	308
772	1046	307
773	1047	305
774	1049	304
775	1050	303
776	1051	301
777	1052	300
778	1054	299
779	1055	297
780	1056	296
781	1058	295
782	1060	293
783	1061	292
784	1062	291
785	1064	289
786	1065	288
787	1067	287
788	1068	285
789	1070	284
790	1071	283
791	1072	281
792	1074	280
793	1075	279
794	1076	277
795	1078	276
796	1079	274
797	1081	273
798	1082	272
799	1083	270
800	1085	269
801	1086	268
802	1087	266
803	1089	265
804	1090	264
805	1092	262
806	1093	261
807	1094	260
808	1096	258
809	1097	257
810	1099	256
811	1100	254
812	1102	253
813	1103	252
814	1104	250
815	1106	249
816	1107	248
817	1108	246
818	1110	245
819	1111	243
820	1113	242
821	1114	241
822	1115	239
823	1117	238
824	1118	237
825	1120	236
826	1121	234
827	1123	233
828	1124	232
829	1126	230
830	1127	229
831	1129	227
832	1130	226
833	1131	225
834	1133	223
835	1134	222
836	1135	221
837	1137	219
838	1138	218
839	1139	217
840	1141	215
841	1142	214
842	1144	213
843	1145	211
844	1147	210
845	1149	209
846	1150	207
847	1151	206
848	1153	205
849	1154	203
850	1155	202
851	1157	201
852	1159	199
853	1160	198
854	1162	197
855	1163	195
856	1165	194
857	1166	193
858	1168	191
859	1170	190
860	1171	189
861	1173	187
862	1174	186
863	1176	185
864	1177	183
865	1178	182
866	1180	181
867	1181	179
868	1183	178
869	1184	177
870	1186	175
871	1187	174
872	1189	172
873	1190	171
874	1191	170
875	1193	168
876	1194	167
877	1196	166
878	1197	164
879	1199	163
880	1200	162
881	1202	160
882	1203	159
883	1204	158
884	1206	156
885	1207	155
886	1209	154
887	1210	152
888	1211	151
889	1213	149
890	1214	148
891	1216	147
892	1217	145
893	1218	144
894	1220	143
895	1222	141
896	1223	140
897	1224	139
898	1225	137
899	1227	136
900	1228	134
901	1229	133
902	1231	132
903	1232	130
904	1233	129
905	1235	128
906	1236	126
907	1237	125
908	1239	124
909	1240	122
910	1241	121
911	1243	119
912	1244	118
913	1246	117
914	1247	115
915	1248	114
916	1250	113
917	1251	111
918	1252	110
919	1254	109
920	1255	107
921	1256	106
922	1258	104
923	1259	103
924	1261	102
925	1262	100
926	1263	99
927	1264	98
928	1266	96
929	1267	95
930	1269	94
931	1270	92
932	1271	91
933	1273	89
934	1274	88
935	1276	87
936	1277	85
937	1278	84
938	1280	83
939	1281	81
940	1282	80
941	1284	79
942	1285	77
943	1286	76
944	1288	74
945	1289	73
946	1291	72
947	1292	70
948	1293	69
949	1295	68
950	1296	66
951	1297	65
952	1299	64
953	1300	62
954	1302	61
955	1303	59
956	1304	58
957	1306	57
958	1307	55
959	1308	54
960	1310	53
961	1311	51
962	1312	50
963	1314	49
964	1315	47
965	1316	46
966	1318	44
967	1319	43
968	1321	42
969	1322	40
970	1324	39
971	1325	38
972	1327	36
973	1328	35
974	1329	34
975	1331	32
976	1332	31
977	1333	30
978	1335	28
979	1336	27
980	1338	25
981	1339	24
982	1341	23
983	1342	21
984	1344	20
985	1345	19
986	1347	17
987	1348	16
988	1350	15
989	1351	13
990	1352	12
991	1354	10
992	1356	9
993	1357	8
994	1358	6
995	1360	5
996	1361	4
997	1362	2
998	1364	1
999	1365	0
